,code,deck_limit,faction_code,faction_cost,flavor,illustrator,influence_limit,keywords,minimum_deck_size,pack_code,position,quantity,side_code,stripped_text,stripped_title,text,title,type_code,uniqueness,base_link,cost,memory_cost,strength,advancement_cost,agenda_points,trash_cost,faction,name,nrdb_key,num_ratings,ranking,rating,side,torb_id
0,01075,3,jinteki,1,"""You ever get that feeling like you're shark food? Pay attention to that feeling."" -Ji ""Noise"" Reilly",Ed Mattinian,,Code Gate,,core,75,2,corp,"Subroutine The next piece of ice the Runner encounters during this run gets +2 strength. When that encounter ends, if the Runner did not fully break that ice, do 3 net damage.",Chum,"[subroutine] The next piece of ice the Runner encounters during this run gets +2 strength. When that encounter ends, if the Runner did not fully break that ice, do 3 net damage.",Chum,ice,False,,1.0,,4.0,,,,jinteki,Chum,01075,114,648,1374.0,corp,75
1,01076,3,jinteki,2,Access HarmlessFile.datZ -> Are you sure? y/n,Andrew Mar,,Trap - AP,,core,76,2,corp,Subroutine Do 1 net damage. Trash Data Mine.,Data Mine,[subroutine] Do 1 net damage. Trash Data Mine.,Data Mine,ice,False,,0.0,,2.0,,,,jinteki,Data Mine,01076,123,755,1303.0,corp,76
2,01089,3,nbn,2,Analyzing was great. Delegating commands turned out to be even better.,Isuardi Therianto,,Sentry - Tracer - Observer,,core,89,3,corp,"When the Runner encounters Matrix Analyzer, you may pay 1 credit to place 1 advancement token on a card that can be advanced. Subroutine Trace[2]. If successful, give the Runner 1 tag.",Matrix Analyzer,"When the Runner encounters Matrix Analyzer, you may pay 1[credit] to place 1 advancement token on a card that can be advanced.
[subroutine] Trace[2]. If successful, give the Runner 1 tag.",Matrix Analyzer,ice,False,,1.0,,3.0,,,,nbn,Matrix Analyzer,01089,109,793,1281.0,corp,89
3,02012,3,haas-bioroid,3,Face your fear.,Tim Durning,,Sentry - Bioroid - AP,,wla,12,3,corp,Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine Do 1 core damage. Subroutine Do 1 core damage. Subroutine Do 1 core damage. Subroutine Do 1 core damage.,Janus 1.0,"<strong>Lose [click]:</strong> Break 1 subroutine on this ice. Only the Runner can use this ability.
[subroutine] Do 1 core damage.
[subroutine] Do 1 core damage.
[subroutine] Do 1 core damage.
[subroutine] Do 1 core damage.",Janus 1.0,ice,False,,15.0,,8.0,,,,haas-bioroid,Janus 1.0,02012,127,620,1393.0,corp,125
4,02015,3,jinteki,2,Sometimes uniqueness is overrated.,Mashuri,,Barrier - Psi,,wla,15,3,corp,"Subroutine You and the Runner secretly spend 0 credits, 1 credit, or 2 credits. Reveal spent credits. End the run if you and the Runner spent a different number of credits.",Snowflake,"[subroutine] You and the Runner secretly spend 0[credit], 1[credit], or 2[credit]. Reveal spent credits. End the run if you and the Runner spent a different number of credits.",Snowflake,ice,False,,1.0,,3.0,,,,jinteki,Snowflake,02015,106,782,1289.0,corp,128
5,02017,3,nbn,1,A collection of cast-off cyberjunk. But it doesn't stay junk for long.,Ed Mattinian,,Barrier,,wla,17,3,corp,"When you rez TMI, Trace[2]. If unsuccessful, derez TMI. Subroutine End the run.",TMI,"When you rez TMI, Trace[2]. If unsuccessful, derez TMI.
[subroutine] End the run.",TMI,ice,False,,3.0,,5.0,,,,nbn,TMI,02017,117,780,1290.0,corp,130
6,02020,3,neutral-corp,0,Victōs draconēs numquam deride.,Sandara Tang,,Sentry - Tracer,,wla,20,3,corp,"When you rez Draco, you may pay X credits to place X power counters on it. Draco has +1 strength for each power counter on it. Subroutine Trace[2]. If successful, give the Runner 1 tag and end the run.",Draco,"When you rez Dracō, you may pay X[credit] to place X power counters on it.
Dracō has +1 strength for each power counter on it.
[subroutine] Trace[2]. If successful, give the Runner 1 tag and end the run.",Dracō,ice,False,,1.0,,0.0,,,,neutral-corp,Dracō,02020,109,805,1274.0,corp,133
7,02030,3,haas-bioroid,2,,Matt Zeilinger,,Sentry - Bioroid - Tracer,,ta,30,3,corp,"Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine Trace[4]. If successful, add 1 installed program to the top of the Runner's stack. Subroutine Trace[4]. If successful, add 1 installed program to the top of the Runner's stack.",Sherlock 1.0,"<strong>Lose [click]:</strong> Break 1 subroutine on this ice. Only the Runner can use this ability.
[subroutine] Trace[4]. If successful, add 1 installed program to the top of the Runner's stack.
[subroutine] Trace[4]. If successful, add 1 installed program to the top of the Runner's stack.",Sherlock 1.0,ice,False,,6.0,,5.0,,,,haas-bioroid,Sherlock 1.0,02030,100,835,1258.0,corp,143
8,02052,3,haas-bioroid,1,Dont Tread On Me,Bruno Balixa,,Code Gate - Tracer,,ce,52,3,corp,"Subroutine Trace[3]. If successful, the Runner loses click, if able. Subroutine Trace[3]. If successful, end the run.",Viper,"[subroutine] Trace[3]. If successful, the Runner loses [click], if able.
[subroutine] Trace[3]. If successful, end the run.",Viper,ice,False,,3.0,,4.0,,,,haas-bioroid,Viper,02052,102,389,1536.0,corp,165
9,02060,3,neutral-corp,0,Three heads. One big headache.,Isuardi Therianto,,Mythic,,ce,60,3,corp,"When you rez Chimera, choose sentry, code gate, or barrier. Chimera gains that subtype until derezzed. When a turn ends, derez Chimera. Subroutine End the run.",Chimera,"When you rez Chimera, choose <strong>sentry</strong>, <strong>code gate</strong>, or <strong>barrier</strong>. Chimera gains that subtype until derezzed.
When a turn ends, derez Chimera.
[subroutine] End the run.",Chimera,ice,False,,2.0,,0.0,,,,neutral-corp,Chimera,02060,134,526,1452.0,corp,173
