stripped_title,faction_code,rating,faction_cost,keywords,stripped_text,rarity
Cell Portal,jinteki,1168.0,2,Code Gate - Deflector,Subroutine The Runner moves to the outermost position of the attacked server. They may jack out. Derez this ice.,Trash
Chum,jinteki,1379.0,1,Code Gate,"Subroutine The next piece of ice the Runner encounters during this run gets +2 strength. When that encounter ends, if the Runner did not fully break that ice, do 3 net damage.",Common
Data Mine,jinteki,1303.0,2,Trap - AP,Subroutine Do 1 net damage. Trash Data Mine.,Trash
Matrix Analyzer,nbn,1281.0,2,Sentry - Tracer - Observer,"When the Runner encounters Matrix Analyzer, you may pay 1 credit to place 1 advancement token on a card that can be advanced. Subroutine Trace[2]. If successful, give the Runner 1 tag.",Trash
Janus 1.0,haas-bioroid,1393.0,3,Sentry - Bioroid - AP,Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine Do 1 core damage. Subroutine Do 1 core damage. Subroutine Do 1 core damage. Subroutine Do 1 core damage.,Faction Common
Snowflake,jinteki,1289.0,2,Barrier - Psi,"Subroutine You and the Runner secretly spend 0 credits, 1 credit, or 2 credits. Reveal spent credits. End the run if you and the Runner spent a different number of credits.",Trash
TMI,nbn,1290.0,1,Barrier,"When you rez TMI, Trace[2]. If unsuccessful, derez TMI. Subroutine End the run.",Trash
Draco,neutral-corp,1274.0,0,Sentry - Tracer,"When you rez Draco, you may pay X credits to place X power counters on it. Draco has +1 strength for each power counter on it. Subroutine Trace[2]. If successful, give the Runner 1 tag and end the run.",Trash
Sherlock 1.0,haas-bioroid,1258.0,2,Sentry - Bioroid - Tracer,"Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine Trace[4]. If successful, add 1 installed program to the top of the Runner's stack. Subroutine Trace[4]. If successful, add 1 installed program to the top of the Runner's stack.",Trash
Sensei,jinteki,1173.0,1,Code Gate,"Subroutine For the remainder of this run, each piece of ice encountered except Sensei gains ""Subroutine End the run"" after all its other subroutines.",Trash
Viper,haas-bioroid,1521.0,1,Code Gate - Tracer,"Subroutine Trace[3]. If successful, the Runner loses click, if able. Subroutine Trace[3]. If successful, end the run.",Faction Common
Woodcutter,weyland-consortium,1071.0,3,Sentry - AP,"Woodcutter can be advanced only while rezzed and gains ""Subroutine Do 1 net damage."" for each advancement token on it.",Trash
Chimera,neutral-corp,1452.0,0,Mythic,"When you rez Chimera, choose sentry, code gate, or barrier. Chimera gains that subtype until derezzed. When a turn ends, derez Chimera. Subroutine End the run.",Common
Hourglass,haas-bioroid,1331.0,2,Code Gate,"Subroutine The Runner loses click, if able. Subroutine The Runner loses click, if able. Subroutine The Runner loses click, if able.",Trash
Bullfrog,jinteki,1206.0,2,Code Gate - Deflector - Psi,"Subroutine You and the Runner secretly spend 0 credits, 1 credit or 2 credits. Reveal spent credits. If you and the Runner spent a different number of credits and this ice is installed, move this ice to the outermost position protecting another server. (The run continues from this new position.)",Trash
Uroboros,nbn,1291.0,2,Sentry - Tracer,"Subroutine Trace[4]. If successful, the Runner cannot make another run this turn. Subroutine Trace[4]. If successful, end the run.",Trash
Tyrant,weyland-consortium,1079.0,2,Barrier,"Tyrant can be advanced only while rezzed and gains ""Subroutine End the run."" for each advancement token on it.",Trash
Data Hound,nbn,1206.0,1,Sentry - Tracer - Observer,"Subroutine Trace[2]. If successful, look at the top X cards of the stack, where X is equal to the amount by which your trace strength exceeded the Runner's link strength. Trash 1 of those cards and arrange the rest in any order.",Trash
Salvage,weyland-consortium,1028.0,2,Code Gate - Tracer,"Salvage can be advanced only while rezzed and gains Subroutine Trace[2]. If successful, give the Runner 1 tag. for each advancement token on it.",Trash
Burke Bugs,weyland-consortium,1080.0,1,Sentry - Destroyer,"Subroutine Trace[0]. If successful, the Runner trashes 1 program.",Trash
Heimdall 2.0,haas-bioroid,1374.0,3,Barrier - Bioroid - AP,Lose click click: Break up to 2 subroutines on this ice. Only the Runner can use this ability. Subroutine Do 1 core damage. Subroutine Do 1 core damage and end the run. Subroutine End the run.,Faction Common
Howler,haas-bioroid,1197.0,1,Trap,"Subroutine You may install and rez a piece of bioroid ice from HQ or Archives, ignoring all costs, placing it directly behind Howler. If you do, derez that piece of ice and trash Howler after the run is completed.",Trash
Ichi 2.0,haas-bioroid,1498.0,3,Sentry - Bioroid - Destroyer - Tracer,"Lose click click: Break up to 2 subroutines on this ice. Only the Runner can use this ability. Subroutine Trash 1 installed program. Subroutine Trash 1 installed program. Subroutine Trace[3]. If successful, do 1 core damage and give the Runner 1 tag.",Faction Common
Minelayer,haas-bioroid,1146.0,1,Code Gate,"Subroutine You may install a piece of ice from HQ as the outermost piece of ice protecting this server, ignoring all install costs.",Trash
Viktor 2.0,haas-bioroid,1378.0,3,Code Gate - Bioroid - Tracer - AP,"Lose click click: Break up to 2 subroutines on this ice. Only the Runner can use this ability. Hosted power counter: Do 1 core damage. Subroutine Trace[2]. If successful, place 1 power counter on this ice. Subroutine End the run.",Faction Common
Zed 1.0,haas-bioroid,1099.0,2,Sentry - Bioroid - AP,"Lose click: Break 1 subroutine on this ice. Only the Runner can use this ability. Subroutine If the Runner has lost click to break a subroutine during this run, do 1 core damage. Subroutine If the Runner has lost click to break a subroutine during this run, do 1 core damage.",Trash
Bastion,neutral-corp,1492.0,0,Barrier,Subroutine End the run.,Common
Datapike,neutral-corp,1412.0,0,Code Gate,"Subroutine The Runner must pay 2 credits, if able. If the Runner cannot pay 2 credits, end the run. Subroutine End the run.",Common
Swarm,weyland-consortium,1076.0,4,Sentry - Destroyer - Illicit,"When you rez Swarm, take 1 bad publicity. Swarm can be advanced and gains ""Subroutine Trash 1 program unless the Runner pays 3 credits."" for each advancement token on it.",Trash
Grim,neutral-corp,1455.0,0,Sentry - Destroyer - Illicit,"When you rez Grim, take 1 bad publicity. Subroutine Trash 1 program.",Common
Wotan,haas-bioroid,1348.0,5,Barrier - Bioroid,Subroutine End the run unless the Runner spends click click. Subroutine End the run unless the Runner pays 3 credits. Subroutine End the run unless the Runner trashes 1 installed program. Subroutine End the run unless the Runner suffers 1 core damage.,Trash
Muckraker,nbn,1270.0,3,Sentry - Tracer - Illicit,"When you rez Muckraker, take 1 bad publicity. Subroutine Trace[1]. If successful, give the Runner 1 tag. Subroutine Trace[2]. If successful, give the Runner 1 tag. Subroutine Trace[3]. If successful, give the Runner 1 tag. Subroutine End the run if the Runner is tagged.",Trash
