faction_code,rarity,stripped_title,rating
jinteki,Trash,Precognition,1277.0
weyland-consortium,Trash,Aggressive Negotiation,1261.0
nbn,Faction Common,Big Brother,1379.0
weyland-consortium,Faction Common,Power Grid Overload,1330.0
neutral-corp,Trash,Freelancer,1299.0
jinteki,Trash,Sunset,1129.0
weyland-consortium,Faction Common,Commercialization,1303.0
haas-bioroid,Trash,Rework,1119.0
neutral-corp,Trash,Foxfire,1251.0
nbn,Faction Rare,Midseason Replacements,1891.0
haas-bioroid,Trash,Bioroid Efficiency Research,1264.0
haas-bioroid,Faction Common,Successful Demonstration,1393.0
nbn,Trash,Invasion of Privacy,1289.0
neutral-corp,Trash,Cyberdex Trial,1276.0
haas-bioroid,Trash,Hellion Alpha Test,1255.0
nbn,Faction Rare,Shipment from SanSan,1611.0
neutral-corp,Rare,Restructure,1665.0
haas-bioroid,Faction Rare,Accelerated Diagnostics,1922.0
weyland-consortium,Faction Rare,Power Shutdown,1679.0
neutral-corp,Rare,Interns,1704.0
jinteki,Trash,Restoring Face,1104.0
haas-bioroid,Faction Rare,Reclamation Order,1535.0
nbn,Faction Common,Corporate Shuffle,1325.0
weyland-consortium,Trash,Witness Tampering,1167.0
jinteki,Faction Common,Cerebral Cast,1430.0
jinteki,Faction Common,Medical Research Fundraiser,1468.0
jinteki,Faction Rare,Mushin No Shin,1724.0
neutral-corp,Rare,Diversified Portfolio,1514.0
neutral-corp,Rare,Fast Track,1688.0
jinteki,Trash,Mutate,1278.0
neutral-corp,Trash,Bad Times,1236.0
haas-bioroid,Faction Rare,Enhanced Login Protocol,1671.0
jinteki,Faction Rare,Cerebral Static,1526.0
nbn,Faction Rare,Targeted Marketing,1618.0
weyland-consortium,Faction Rare,Paywall Implementation,1576.0
neutral-corp,Trash,Lag Time,1286.0
nbn,Faction Common,Manhunt,1339.0
haas-bioroid,Faction Common,Peak Efficiency,1414.0
weyland-consortium,Faction Common,Reuse,1306.0
neutral-corp,Common,Snatch and Grab,1402.0
nbn,Trash,Shoot the Moon,1248.0
weyland-consortium,Faction Rare,Housekeeping,1597.0
weyland-consortium,Trash,Patch,1277.0
weyland-consortium,Faction Common,Traffic Accident,1494.0
neutral-corp,Trash,Sub Boost,1220.0
nbn,Faction Common,Predictive Algorithm,1364.0
jinteki,Trash,Recruiting Trip,1276.0
haas-bioroid,Faction Common,Defective Brainchips,1316.0
jinteki,Faction Common,An Offer You Can't Refuse,1459.0
nbn,Faction Common,Casting Call,1428.0
weyland-consortium,Faction Common,Back Channels,1304.0
nbn,Faction Rare,24/7 News Cycle,1875.0
nbn,Faction Common,Ad Blitz,1407.0
nbn,Faction Common,Media Blitz,1493.0
nbn,Faction Rare,The All-Seeing I,1613.0
nbn,Faction Common,Surveillance Sweep,1350.0
jinteki,Faction Common,Heritage Committee,1426.0
weyland-consortium,Faction Rare,Dedication Ceremony,1784.0
haas-bioroid,Trash,Product Recall,1211.0
jinteki,Faction Rare,"""Clones are not People""",1594.0
nbn,Faction Rare,Salem's Hospitality,1593.0
neutral-corp,Common,Localized Product Line,1461.0
nbn,Faction Rare,Exchange of Information,1942.0
weyland-consortium,Faction Rare,Consulting Visit,1860.0
haas-bioroid,Faction Rare,Lateral Growth,1680.0
jinteki,Faction Common,Voter Intimidation,1470.0
weyland-consortium,Faction Common,Election Day,1390.0
weyland-consortium,Faction Common,Subcontract,1311.0
nbn,Faction Rare,Hard-Hitting News,1896.0
weyland-consortium,Faction Rare,Stock Buy-Back,1597.0
jinteki,Faction Common,Enforcing Loyalty,1389.0
nbn,Faction Common,Hatchet Job,1451.0
nbn,Faction Common,Special Report,1420.0
weyland-consortium,Trash,Liquidation,1209.0
neutral-corp,Trash,Financial Collapse,1220.0
haas-bioroid,Faction Rare,Ark Lockdown,1684.0
haas-bioroid,Faction Common,Hellion Beta Test,1383.0
nbn,Faction Common,Observe and Destroy,1329.0
nbn,Faction Common,Service Outage,1333.0
weyland-consortium,Faction Rare,BOOM!,1945.0
weyland-consortium,Faction Rare,Door to Door,1555.0
neutral-corp,Rare,Scarcity of Resources,1980.0
haas-bioroid,Trash,Wetwork Refit,1228.0
jinteki,Faction Rare,Hasty Relocation,1610.0
neutral-corp,Rare,Best Defense,1556.0
neutral-corp,Rare,Preemptive Action,1764.0
haas-bioroid,Faction Rare,Friends in High Places,2033.0
neutral-corp,Common,Enforced Curfew,1428.0
haas-bioroid,Faction Rare,Violet Level Clearance,1953.0
jinteki,Faction Common,Psychokinesis,1315.0
haas-bioroid,Faction Common,Load Testing,1431.0
jinteki,Trash,Replanting,1272.0
nbn,Faction Rare,MCA Informant,1549.0
weyland-consortium,Trash,Sacrifice,1233.0
weyland-consortium,Faction Rare,Audacity,1898.0
weyland-consortium,Faction Rare,Red Planet Couriers,1641.0
jinteki,Faction Rare,Shipment from Tennin,1800.0
weyland-consortium,Trash,Success,1200.0
neutral-corp,Rare,Mass Commercialization,1742.0
haas-bioroid,Trash,O Shortage,1057.0
nbn,Faction Common,Biased Reporting,1441.0
weyland-consortium,Trash,Transparency Initiative,1172.0
neutral-corp,Trash,Rover Algorithm,1193.0
haas-bioroid,Faction Rare,Restore,1649.0
nbn,Trash,Rolling Brownout,1239.0
nbn,Faction Common,Threat Level Alpha,1347.0
weyland-consortium,Faction Common,Priority Construction,1476.0
haas-bioroid,Faction Rare,Ultraviolet Clearance,1906.0
weyland-consortium,Faction Rare,Hunter Seeker,1815.0
haas-bioroid,Faction Rare,Green Level Clearance,1568.0
haas-bioroid,Faction Rare,Shipment from MirrorMorph,1654.0
weyland-consortium,Faction Rare,Shipment from Kaguya,1593.0
nbn,Faction Common,Anonymous Tip,1438.0
jinteki,Faction Rare,Genotyping,1592.0
nbn,Faction Rare,Self-Growth Program,1614.0
weyland-consortium,Faction Rare,Wake Up Call,1520.0
nbn,Faction Common,Threat Assessment,1422.0
weyland-consortium,Faction Rare,Economic Warfare,1814.0
neutral-corp,Common,Distract the Masses,1387.0
jinteki,Faction Common,Reverse Infection,1417.0
weyland-consortium,Faction Rare,Death and Taxes,1553.0
weyland-consortium,Faction Common,Trojan Horse,1425.0
haas-bioroid,Faction Common,Kill Switch,1420.0
nbn,Faction Common,Standard Procedure,1369.0
haas-bioroid,Faction Common,Riot Suppression,1300.0
nbn,Faction Rare,Market Forces,1644.0
weyland-consortium,Faction Rare,High-Profile Target,1934.0
haas-bioroid,Faction Rare,Divert Power,1544.0
haas-bioroid,Faction Rare,Fast Break,1685.0
haas-bioroid,Faction Rare,Game Changer,1900.0
jinteki,Faction Common,Hangeki,1400.0
nbn,Faction Common,Eavesdrop,1302.0
nbn,Faction Rare,Attitude Adjustment,1615.0
weyland-consortium,Faction Rare,Building Blocks,1504.0
weyland-consortium,Faction Rare,Too Big to Fail,1742.0
weyland-consortium,Faction Common,Under the Bus,1482.0
haas-bioroid,Faction Rare,Blue Level Clearance,1581.0
jinteki,Faction Rare,Neural EMP,1591.0
nbn,Faction Rare,Closed Accounts,1769.0
nbn,Faction Rare,SEA Source,1807.0
weyland-consortium,Faction Common,Beanstalk Royalties,1427.0
weyland-consortium,Faction Rare,Oversight AI,1631.0
neutral-corp,Rare,IPO,1715.0
haas-bioroid,Faction Rare,Fully Operational,1856.0
haas-bioroid,Faction Rare,Red Level Clearance,1744.0
jinteki,Faction Rare,Complete Image,1508.0
nbn,Faction Common,Focus Group,1340.0
nbn,Trash,Game Over,1277.0
weyland-consortium,Faction Common,Secure and Protect,1302.0
haas-bioroid,Faction Common,NEXT Activation Command,1499.0
haas-bioroid,Faction Common,Scapenet,1349.0
jinteki,Faction Common,Hyoubu Precog Manifold,1466.0
jinteki,Faction Common,Kakurenbo,1407.0
nbn,Faction Common,SYNC Rerouting,1382.0
weyland-consortium,Faction Common,Argus Crackdown,1436.0
neutral-corp,Common,NAPD Cordon,1493.0
nbn,Faction Rare,Digital Rights Management,1594.0
nbn,Faction Rare,Sweeps Week,1719.0
weyland-consortium,Faction Rare,Scorched Earth,1984.0
haas-bioroid,Faction Rare,Seamless Launch,1942.0
haas-bioroid,Faction Rare,Sprint,1657.0
jinteki,Faction Rare,Hansei Review,1614.0
jinteki,Faction Rare,Neurospike,1620.0
nbn,Faction Rare,Predictive Planogram,1678.0
nbn,Faction Rare,Public Trail,1613.0
weyland-consortium,Faction Rare,Government Subsidy,1671.0
weyland-consortium,Faction Rare,Retribution,1559.0
neutral-corp,Rare,Hedge Fund,1891.0
haas-bioroid,Faction Rare,Archived Memories,1775.0
