,index,pack_code,title,count,decklists,type_code,is_nsg
0,1917,sg,Sure Gamble,1009,338,event,True
1,2001,su21,Dirty Laundry,643,227,event,True
2,1820,ur,Daily Casts,595,214,resource,True
3,1991,su21,Diesel,344,125,event,True
4,1916,sg,Overclock,320,135,event,True
5,1907,sg,Creative Commission,312,108,event,True
6,2057,ms,Steelskin Scarring,298,102,event,True
7,1800,ur,Bravado,295,107,event,True
8,2078,ms,Endurance,289,126,hardware,True
9,1894,sg,Fermenter,256,93,program,True
10,1915,sg,Jailbreak,254,96,event,True
11,2066,ms,Pinhole Threading,254,146,event,True
12,1801,ur,Boomerang,254,107,hardware,True
13,1811,ur,Simulchip,252,122,hardware,True
14,1891,sg,Botulus,229,97,program,True
15,2003,su21,Earthrise Hotel,221,93,resource,True
16,959,bm,Paperclip,213,147,program,False
17,2073,ms,No Free Lunch,198,85,resource,True
18,943,23s,Deuces Wild,197,85,event,False
19,1898,sg,Mutual Favor,194,99,event,True
20,1793,ur,Moshing,184,68,event,True
21,1744,df,The Class Act,182,82,resource,True
22,2083,ms,Stoneship Chart Room,175,68,resource,True
23,1816,ur,Self-modifying Code,175,87,program,True
24,1974,su21,Liberated Account,172,81,resource,True
25,1497,ka,Diversion of Funds,165,59,event,False
26,1730,df,Stargate,164,122,program,True
27,1821,ur,DreamNet,162,89,resource,True
28,1495,ka,Hippo,155,56,hardware,False
29,2070,ms,Cezve,152,72,program,True
30,2076,ms,Into the Depths,151,60,event,True
31,1799,ur,Paladin Poemu,151,77,resource,True
32,977,es,Black Orchestra,147,74,program,False
33,1914,sg,Telework Contract,143,58,resource,True
34,1742,df,Bukhgalter,143,115,program,True
35,1752,df,Rezeki,142,54,program,True
36,1982,su21,Inside Job,134,61,event,True
37,1016,ml,MKUltra,128,78,program,False
38,1063,dc,Mad Dash,125,87,event,False
39,2077,ms,Rigging Up,124,50,event,True
40,2075,ms,Deep Dive,112,61,event,True
41,2063,ms,The Twinning,105,74,resource,True
42,1900,sg,Docklands Pass,105,77,hardware,True
43,1979,su21,Career Fair,102,48,event,True
44,58,core,Sure Gamble,102,34,event,False
45,1971,su21,Imp,100,49,program,True
46,2065,ms,Carpe Diem,100,37,event,True
47,1889,sg,Wildcat Strike,98,45,event,True
48,1795,ur,Gachapon,96,42,hardware,True
49,1893,sg,Cleaver,93,67,program,True
50,2055,ms,Chastushka,91,36,event,True
51,1918,sg,T400 Memory Diamond,91,45,hardware,True
52,294,cac,Daily Casts,86,30,resource,False
53,1005,in,Citadel Sanctuary,86,66,resource,False
54,1999,su21,Aesop's Pawnshop,86,36,resource,True
55,1895,sg,Leech,84,43,program,True
56,1909,sg,DZMZ Optimizer,84,41,hardware,True
57,1901,sg,Pennyshaver,81,38,hardware,True
58,1457,tdatd,Rogue Trading,76,26,resource,False
59,1969,su21,Clot,75,71,program,True
60,2069,ms,Cat's Cradle,75,52,program,True
61,800,dad,Harbinger,75,26,program,False
62,1159,cd,Aumakua,75,46,program,False
63,1899,sg,Tread Lightly,72,29,event,True
64,1896,sg,Cookbook,70,36,resource,True
65,1993,su21,The Maker's Eye,69,33,event,True
66,2002,su21,Prepaid VoicePAD,69,29,hardware,True
67,2061,ms,Avgustina Ivanovskaya,68,31,resource,True
68,1456,tdatd,Falsified Credentials,67,30,event,False
69,293,cac,Dirty Laundry,67,24,event,False
70,1919,sg,Mayfly,66,39,program,True
71,1970,su21,Corroder,65,50,program,True
72,1729,df,Chisel,63,27,program,True
73,2079,ms,Hyperbaric,63,49,program,True
74,2056,ms,Running Hot,63,24,event,True
75,1521,rar,Hot Pursuit,59,21,event,False
76,1913,sg,Unity,58,43,program,True
77,2058,ms,Ghosttongue,57,23,hardware,True
78,1748,df,Spec Work,57,22,event,True
79,1738,df,Blueberry!™ Diesel,55,22,event,True
80,965,bm,Beth Kilrain-Chang,55,51,resource,False
81,1020,ml,Misdirection,55,53,program,False
82,796,dad,Apocalypse,54,22,event,False
83,1920,sg,Smartware Distributor,52,25,resource,True
84,1794,ur,Devil Charm,51,21,hardware,True
85,1921,sg,Verbal Plasticity,50,26,resource,True
86,1493,ka,Zer0,48,20,hardware,False
87,623,oac,I've Had Worse,47,17,event,False
88,2059,ms,Marrow,47,21,hardware,True
89,976,es,Obelus,46,21,hardware,False
90,1735,df,Trickster Taka,45,38,resource,True
91,1415,dtwn,Credit Kiting,44,21,event,False
92,1905,sg,Red Team,44,17,resource,True
93,295,cac,Same Old Thing,43,23,resource,False
94,1892,sg,Buzzsaw,42,27,program,True
95,1814,ur,Mantle,42,23,program,True
96,10,core,Déjà Vu,41,16,event,False
97,1796,ur,Keiko,40,19,hardware,True
98,1809,ur,Harmony AR Therapy,40,25,event,True
99,1039,qu,Tapwrm,40,20,program,False
100,1988,su21,Security Testing,40,26,resource,True
101,1908,sg,VRcation,39,19,event,True
102,1526,rar,Miss Bones,39,24,resource,False
103,1537,rar,DJ Fenris,39,39,resource,False
104,26,core,Account Siphon,39,16,event,False
105,1498,ka,PAD Tap,38,13,resource,False
106,1911,sg,Conduit,38,26,program,True
107,1858,urbp,Swift,38,18,hardware,True
108,1481,win,Logic Bomb,38,14,resource,False
109,1496,ka,Amina,37,34,program,False
110,1078,so,Counter Surveillance,37,17,resource,False
111,1751,df,Pelangi,37,20,program,True
112,1857,urbp,Mystic Maemi,36,28,resource,True
113,1810,ur,Aniccam,36,17,hardware,True
114,2062,ms,Light the Fire!,35,23,resource,True
115,1394,ss,Yusuf,35,19,program,False
116,1998,su21,Paricia,35,30,program,True
117,2072,ms,Backstitching,34,15,resource,True
118,1980,su21,Emergency Shutdown,34,15,event,True
119,1500,ka,Engolo,34,28,program,False
120,1755,df,Rejig,34,20,event,True
121,1864,mor,Labor Rights,34,15,event,False
122,279,cac,Clone Chip,33,14,hardware,False
123,16,core,Datasucker,32,15,program,False
124,1902,sg,Carmen,32,22,program,True
125,2060,ms,Begemot,31,18,program,True
126,1983,su21,Legwork,31,18,event,True
127,544,uao,Inject,30,11,event,False
128,1021,ml,Reaver,30,21,program,False
129,708,uw,Street Peddler,29,10,resource,False
130,1992,su21,Test Run,29,15,event,True
131,1156,cd,Mining Accident,28,11,event,False
