faction_code,rarity,stripped_title,rating
haas-bioroid,Trash,Experiential Data,1221.0
jinteki,Faction Common,Akitaro Watanabe,1304.0
weyland-consortium,Trash,Research Station,1239.0
nbn,Faction Common,ChiLo City Grid,1365.0
weyland-consortium,Trash,Amazon Industrial Zone,1267.0
weyland-consortium,Trash,Simone Diego,1161.0
haas-bioroid,Faction Common,Ruhr Valley,1418.0
jinteki,Trash,Midori,1289.0
haas-bioroid,Trash,Awakening Center,1271.0
haas-bioroid,Trash,Tyr's Hand,1143.0
weyland-consortium,Faction Common,Off the Grid,1493.0
haas-bioroid,Faction Common,Panic Button,1377.0
jinteki,Faction Rare,Caprice Nisei,2056.0
jinteki,Trash,NeoTokyo Grid,1192.0
jinteki,Faction Common,Tori Hanzo,1328.0
nbn,Faction Common,Midway Station Grid,1385.0
haas-bioroid,Faction Rare,Heinlein Grid,1534.0
neutral-corp,Common,Will-o'-the-Wisp,1439.0
jinteki,Trash,Port Anson Grid,1287.0
neutral-corp,Trash,Shell Corporation,1239.0
neutral-corp,Common,Self-destruct,1336.0
weyland-consortium,Trash,Satellite Grid,1206.0
weyland-consortium,Faction Common,The Twins,1360.0
neutral-corp,Trash,Dedicated Technician Team,1156.0
neutral-corp,Rare,Cyberdex Virus Suite,1755.0
jinteki,Faction Common,Valley Grid,1333.0
neutral-corp,Rare,Breaker Bay Grid,1749.0
haas-bioroid,Faction Common,Oaktown Grid,1308.0
haas-bioroid,Faction Common,Ryon Knight,1390.0
jinteki,Faction Rare,Marcus Batty,1826.0
neutral-corp,Trash,Underway Grid,1270.0
nbn,Faction Common,Old Hollywood Grid,1447.0
weyland-consortium,Faction Common,Expo Grid,1317.0
nbn,Faction Rare,Keegan Lane,1585.0
nbn,Trash,Rutherford Grid,1237.0
jinteki,Faction Common,Mumbad City Grid,1489.0
nbn,Faction Common,Disposable HQ,1346.0
weyland-consortium,Faction Common,Surat City Grid,1452.0
neutral-corp,Rare,Mumbad Virtual Tour,1732.0
nbn,Faction Rare,Navi Mumbai City Grid,1518.0
jinteki,Faction Common,Georgia Emelyov,1387.0
neutral-corp,Rare,Prisec,1717.0
nbn,Trash,Drone Screen,1173.0
haas-bioroid,Faction Common,Manta Grid,1332.0
jinteki,Trash,Nihongai Grid,1288.0
weyland-consortium,Faction Rare,Bryan Stinson,1865.0
haas-bioroid,Trash,Defense Construct,1150.0
weyland-consortium,Faction Rare,Oberth Protocol,1641.0
neutral-corp,Trash,Khondi Plaza,1119.0
neutral-corp,Common,Signal Jamming,1323.0
jinteki,Trash,Bamboo Dome,1236.0
jinteki,Faction Common,Ben Musashi,1464.0
nbn,Trash,Henry Phillips,1254.0
haas-bioroid,Faction Rare,Warroid Tracker,1541.0
nbn,Trash,Traffic Analyzer,1208.0
haas-bioroid,Faction Rare,Helheim Servers,1529.0
weyland-consortium,Faction Common,Fractal Threat Matrix,1377.0
haas-bioroid,Faction Common,Black Level Clearance,1416.0
weyland-consortium,Faction Common,K. P. Lynn,1432.0
haas-bioroid,Faction Common,Strongbox,1390.0
nbn,Faction Common,Bernice Mai,1460.0
nbn,Faction Rare,Calibration Testing,1682.0
haas-bioroid,Faction Rare,Jinja City Grid,1760.0
weyland-consortium,Faction Common,Forced Connection,1407.0
jinteki,Faction Common,Code Replicator,1490.0
haas-bioroid,Faction Common,Tempus,1306.0
jinteki,Faction Rare,Bio Vault,1723.0
jinteki,Faction Rare,Mwanza City Grid,1534.0
nbn,Trash,Intake,1287.0
weyland-consortium,Faction Rare,Overseer Matrix,1588.0
haas-bioroid,Faction Rare,Giordano Memorial Field,1651.0
jinteki,Trash,Daruma,1280.0
nbn,Faction Rare,Arella Salvatore,1641.0
neutral-corp,Rare,Hired Help,1753.0
haas-bioroid,Faction Rare,Ash 2X3ZB9CY,1823.0
haas-bioroid,Faction Rare,Mason Bellamy,1543.0
nbn,Faction Rare,Product Placement,1580.0
nbn,Faction Rare,Red Herrings,1504.0
haas-bioroid,Faction Common,Cold Site Server,1448.0
jinteki,Faction Common,Letheia Nisei,1413.0
nbn,Trash,Increased Drop Rates,1244.0
weyland-consortium,Faction Common,Reduced Service,1454.0
haas-bioroid,Faction Rare,Tranquility Home Grid,1735.0
nbn,Faction Rare,Ganked!,1667.0
jinteki,Faction Rare,La Costa Grid,1702.0
weyland-consortium,Faction Rare,Cayambe Grid,1779.0
jinteki,Faction Rare,Embolus,1516.0
haas-bioroid,Faction Rare,Manegarm Skunkworks,1826.0
jinteki,Faction Rare,Anoetic Void,1919.0
nbn,Faction Common,AMAZE Amusements,1480.0
weyland-consortium,Faction Rare,Malapert Data Vault,1618.0
haas-bioroid,Faction Rare,Corporate Troubleshooter,1505.0
jinteki,Faction Rare,Hokusai Grid,1662.0
nbn,Faction Rare,SanSan City Grid,1926.0
weyland-consortium,Faction Rare,Crisium Grid,1823.0
jinteki,Faction Rare,Mavirus,1648.0
nbn,Faction Rare,Vladisibirsk City Grid,1706.0
haas-bioroid,Faction Rare,Djupstad Grid,1525.0
haas-bioroid,Faction Rare,Mr. Hendrik,1646.0
jinteki,Faction Rare,Nanisivik Grid,1743.0
weyland-consortium,Faction Rare,Yakov Erikovich Avdakov,1527.0
weyland-consortium,Faction Rare,ZATO City Grid,1746.0
